prospect_id,company_name,website,industry_hint,linkedin_url,cloned_site_url
denali-growth-partners,Denali Growth Partners,http://www.denaligrowth.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/ames-lyman-33930a63,https://denali-growth-partners-forge.vercel.app
gemspring-capital,Gemspring Capital,http://www.gemspring.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/geoffreygriffen,https://gemspring-capital-forge.vercel.app
greenridge-growth-partners,Greenridge Growth Partners,http://www.greenridgegrowth.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/andrew-bell-356761148,https://greenridge-growth-partners-forge.vercel.app
knowledge-realty-trust,Knowledge Realty Trust,http://www.knowledgerealtytrust.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/divyanshu-arora-02794982,https://knowledge-realty-trust-forge.vercel.app
kps-capital-partners,KPS Capital Partners,http://www.kpsfund.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/parthepan-balasubramaniam-53765499,https://kps-capital-partners-forge.vercel.app
localglobe,LocalGlobe,http://www.localglobe.vc,Private Equity / Portfolio Operations,http://www.linkedin.com/in/ambimistry,https://localglobe-forge.vercel.app
nextgen-growth-partners,NextGen Growth Partners,http://www.nextgengp.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/ericrwilson,https://nextgen-growth-partners-forge.vercel.app
northlane-capital-partners,Northlane Capital Partners,http://www.northlanecapital.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/jacob-hovey-2bb177106,https://northlane-capital-partners-forge.vercel.app
omega-holdings,Omega Holdings,http://www.omega-usa.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/peteradambutterfield,https://omega-holdings-forge.vercel.app
ridgemont-equity-partners,Ridgemont Equity Partners,http://www.ridgemontep.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/adam-brawley-5b447372,https://ridgemont-equity-partners-forge.vercel.app
sageview-capital,Sageview Capital,http://www.sageviewcapital.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/trentnelson1,https://sageview-capital-forge.vercel.app
samuels-associates,Samuels & Associates,http://www.samuelsre.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/jeremy-ouellette-6a61508,https://samuels-associates-forge.vercel.app
sionna-therapeutics,Sionna Therapeutics,http://www.sionnatx.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/meghan-bagshaw-57410244,https://sionna-therapeutics-forge.vercel.app
the-garcia-companies,The Garcia Companies,http://www.thegarciacompanies.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/elizabethchodar,https://the-garcia-companies-forge.vercel.app
tsg-consumer-partners,TSG Consumer Partners,http://www.tsgconsumer.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/thomas-j-stevenson,https://tsg-consumer-partners-forge.vercel.app
valor-equity-partners,Valor Equity Partners,http://www.valorep.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/moditohri,https://valor-equity-partners-forge.vercel.app
calvert-law-firm,Calvert Law Firm,http://www.calvertlaw.com,Law Firms,http://www.linkedin.com/in/racalvert,https://calvert-law-firm-forge.vercel.app
campos-law-firm,Campos Law Firm,http://www.camposlawfirm.com,Law Firms,http://www.linkedin.com/in/luisalfonsocespedes,https://campos-law-firm-forge.vercel.app
cnl-law-firm-pllc,"CNL Law Firm, PLLC",http://www.cnllaw.com,Law Firms,http://www.linkedin.com/in/kierstenlizardo,https://cnl-law-firm-pllc-forge.vercel.app
front-line-law,Front Line Law,http://www.thefrontlinelawyers.com,Law Firms,http://www.linkedin.com/in/celina-phillips-0796969b,https://front-line-law-forge.vercel.app
goosmann-law-firm,Goosmann Law Firm,http://www.goosmannlaw.com,Law Firms,http://www.linkedin.com/in/william-j-hale,https://goosmann-law-firm-forge.vercel.app
hildebrand-law-firm-llc,"Hildebrand Law Firm, LLC",http://www.hildebrandlawfirm.net,Law Firms,http://www.linkedin.com/in/meriza-crom-948590305,https://hildebrand-law-firm-llc-forge.vercel.app
jones-law-firm-pc,"Jones Law Firm, PC",http://www.denverdivorceattorneys.com,Law Firms,http://www.linkedin.com/in/burke-johnson-a2b2307,https://jones-law-firm-pc-forge.vercel.app
krause-and-kinsman-law-firm,Krause and Kinsman Law Firm,http://www.krauseandkinsman.com,Law Firms,http://www.linkedin.com/in/guillermosaborio,https://krause-and-kinsman-law-firm-forge.vercel.app
lacourse-law-firm,LaCourse Law Firm,http://www.lacourselaw.com,Law Firms,http://www.linkedin.com/in/teyai-clayton-bowen-b73ba2206,https://lacourse-law-firm-forge.vercel.app
levy-craig-law-firm,Levy Craig Law Firm,http://www.levycraig.com,Law Firms,http://www.linkedin.com/in/sam-kueny-946b14123,https://levy-craig-law-firm-forge.vercel.app
mcdivitt-law-firm,McDivitt Law Firm,http://www.mcdivittlaw.com,Law Firms,http://www.linkedin.com/in/chevon-underwood-734132161,https://mcdivitt-law-firm-forge.vercel.app
metier-law-firm-llc,"Metier Law Firm, LLC",http://www.metierlaw.com,Law Firms,http://www.linkedin.com/in/patrick-dibenedetto-41713081,https://metier-law-firm-llc-forge.vercel.app
ragab-law-firm-p-c,"Ragab Law Firm, P.C.",http://www.ragablawfirm.com,Law Firms,http://www.linkedin.com/in/ross-hardin-97359927,https://ragab-law-firm-p-c-forge.vercel.app
riggs-abney-neal-turpen-orbison-lewis-law-firm,Riggs Abney Neal Turpen Orbison & Lewis Law Firm,http://www.riggsabney.com,Law Firms,http://www.linkedin.com/in/michael-turpen-410a14b9,https://riggs-abney-neal-turpen-orbison-lewis-law-firm-forge.vercel.app
the-harris-law-firm,The Harris Law Firm,http://www.harrislawcares.com,Law Firms,http://www.linkedin.com/in/doug-edwards-4647417b,https://the-harris-law-firm-forge.vercel.app
grand-salon-medspa,Grand Salon & MedSpa,http://www.grand-salon.com,MedSpa / Aesthetics / Wellness Clinics,http://www.linkedin.com/in/shelly-rewinkle-9337a816,https://grand-salon-medspa-forge.vercel.app
hentzen-coatings,Hentzen Coatings,http://www.hentzen.com,Manufacturing / Industrial Operators,http://www.linkedin.com/in/rolando-ynocencio-5663a846,https://hentzen-coatings-forge.vercel.app
kennedy-capital-management,Kennedy Capital Management,http://www.kennedycapital.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/colin-mccumber-1264913a,https://kennedy-capital-management-forge.vercel.app
abel-law-firm,Abel Law Firm,http://www.abellawfirm.com,Law Firms,http://www.linkedin.com/in/alexandra-keogh-07a6b787,https://abel-law-firm-forge.vercel.app
cedar-tree-native-law,Cedar Tree Native Law,http://www.cedartreenativelaw.com,Law Firms,http://www.linkedin.com/in/cedar-tree-61b1a0327,https://cedar-tree-native-law-forge.vercel.app
humphrey-law-firm,Humphrey Law Firm,http://www.humphreylaw.com,Law Firms,http://www.linkedin.com/in/david-humphrey-06a20312,https://humphrey-law-firm-forge.vercel.app
owens-law-firm-pc,Owens Law Firm PC,http://www.theowenslawfirmpc.com,Law Firms,http://www.linkedin.com/in/elizabeth-owens-8b500aa4,https://owens-law-firm-pc-forge.vercel.app
sanders-law-firm,Sanders Law Firm,http://www.perrysanderslaw.com,Law Firms,http://www.linkedin.com/in/justin-bailey-39292511a,https://sanders-law-firm-forge.vercel.app
rejuvenate-medspa,Rejuvenate MedSpa,http://www.rejuvenatecolorado.com,MedSpa / Aesthetics / Wellness Clinics,http://www.linkedin.com/in/laurie-price-mowrey-81ba30296,https://rejuvenate-medspa-forge.vercel.app
grimes-company,Grimes & Company,http://www.grimesco.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/joe-benoit-cfa-1358791b,https://grimes-company-forge.vercel.app
providence-equity-partners,Providence Equity Partners,http://www.provequity.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/lyle-gangemi,https://providence-equity-partners-forge.vercel.app
store-capital,STORE Capital,http://www.storecapital.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/angela-donahoe-017568121,https://store-capital-forge.vercel.app
adams-jones-law-firm,Adams Jones Law Firm,http://www.adamsjones.com,Law Firms,http://www.linkedin.com/in/codybranham,https://adams-jones-law-firm-forge.vercel.app
croker-huck-law-firm,Croker Huck Law Firm,http://www.crokerlaw.com,Law Firms,http://www.linkedin.com/in/angela-burmeister-59394ab,https://croker-huck-law-firm-forge.vercel.app
curtis-law-firm-llc,Curtis Law Firm | LLC,http://www.cmcurtislaw.com,Law Firms,http://www.linkedin.com/in/lisa-curtis-3b03a340,https://curtis-law-firm-llc-forge.vercel.app
edgar-law-firm-llc,Edgar Law Firm LLC,http://www.edgarlawfirm.com,Law Firms,http://www.linkedin.com/in/michael-owens-4522571a,https://edgar-law-firm-llc-forge.vercel.app
erickson-sederstrom-law-firm,Erickson Sederstrom Law Firm,http://www.eslaw.com,Law Firms,http://www.linkedin.com/in/mark-schorr-7838186,https://erickson-sederstrom-law-firm-forge.vercel.app
kohn-law-firm-s-c,Kohn Law Firm S.C.,http://www.kohnlaw.com,Law Firms,http://www.linkedin.com/in/matthew-richburg-94966114,https://kohn-law-firm-s-c-forge.vercel.app
parrish-kruidenier-law-firm,Parrish Kruidenier Law Firm,http://www.parrishlaw.com,Law Firms,http://www.linkedin.com/in/gina-messamer-36221411,https://parrish-kruidenier-law-firm-forge.vercel.app
patterson-law-firm-l-l-p,Patterson Law Firm L.L.P.,http://www.pattersonfirm.com,Law Firms,http://www.linkedin.com/in/gregwitke,https://patterson-law-firm-l-l-p-forge.vercel.app
popham-injury-law-firm,Popham Injury Law Firm,http://www.pophamlaw.com,Law Firms,http://www.linkedin.com/in/mark-schloegel-aba56b6,https://popham-injury-law-firm-forge.vercel.app
regan-law-firm,Regan Law Firm,http://www.reganlawfirm.com,Law Firms,http://www.linkedin.com/in/kevin-regan-77579622,https://regan-law-firm-forge.vercel.app
the-previant-law-firm-s-c,"The Previant Law Firm, S.C.",http://www.previant.com,Law Firms,http://www.linkedin.com/in/casey-p-shorts-b6614599,https://the-previant-law-firm-s-c-forge.vercel.app
the-zenor-law-firm,The Zenor Law Firm,http://www.zenorlaw.com,Law Firms,http://www.linkedin.com/in/allyson-aden-b091777b,https://the-zenor-law-firm-forge.vercel.app
